SampleNum	GroupNum	objId	Concentration
1	1	1004699	0.001
2	1	1004698	0.005
3	1	1004700	0.1
4	1	1004701	0.5
5	1	1004705	0.5
6	1	1004702	1.0
7	1	1004703	5.0
8	1	1004704	10.0
9	1	1004706	100.0
10	2	1004374	0.02
11	2	1004370	0.2
12	2	1004373	0.2
13	2	1004368	2.0
14	2	1004372	2.0
15	2	1004369	20.0
16	2	1004371	20.0
17	3	1004796	0.01
18	3	1004797	0.1
19	3	1004798	0.5
20	3	1004799	1.0
21	3	1004802	10.0
22	3	1004800	50.0
23	3	1004801	100.0
24	4	1004463	0.1
25	4	1004464	0.5
26	4	1004465	1.0
27	4	1004466	10.0
28	4	1004467	50.0
29	4	1004468	100.0
30	5	1004503	0.01
31	5	1004504	0.1
32	5	1004505	0.5
33	5	1004506	1.0
34	5	1004507	5.0
35	5	1004508	50.0
36	6	1004161	0.1
37	6	1004165	0.5
38	6	1004166	1.0
39	6	1004167	5.0
40	6	1004162	10.0
41	7	1004163	0.1
42	7	1004168	0.5
43	7	1004169	1.0
44	7	1004170	5.0
45	7	1004164	10.0
46	8	1004209	0.01
47	8	1004210	0.1
48	8	1004211	1.0
49	8	1004212	10.0
50	8	1004213	100.0
51	9	1004624	0.1
52	9	1004628	0.5
53	9	1004626	1.0
54	9	1004629	10.0
55	9	1004630	100.0
56	10	1004759	0.01
57	10	1004760	0.1
58	10	1004761	1.0
59	10	1004762	10.0
60	10	1004763	100.0
61	11	1004764	0.1
62	11	1004765	0.5
63	11	1004766	1.0
64	11	1004768	50.0
65	11	1004769	100.0
66	12	1004773	0.001
67	12	1004774	0.01
68	12	1004775	0.1
69	12	1004776	1.0
70	12	1004777	10.0
71	13	1006006	0.5
72	13	1006007	2.0
73	13	1006008	5.0
74	13	1006009	20.0
75	13	1006010	50.0
76	14	1003919	2.0
77	14	1003921	10.0
78	14	1003924	50.0
79	14	1003786	200.0
80	15	1004129	0.2
81	15	1004127	2.0
82	15	1004126	20.0
83	15	1004125	200.0
84	16	1004182	0.1
85	16	1004183	1.0
86	16	1004184	10.0
87	16	1004185	100.0
88	17	1004196	0.01
89	17	1004190	0.1
90	17	1004199	1.0
91	17	1004193	10.0
92	18	1004198	1.0
93	18	1004201	5.0
94	18	1004203	50.0
95	18	1004200	100.0
96	19	1004228	1.0
97	19	1004230	10.0
98	19	1004229	100.0
99	19	1004231	200.0
100	20	1004382	0.2
101	20	1004381	2.0
102	20	1004380	20.0
103	20	1004379	200.0
104	21	1004403	0.1
105	21	1004402	1.0
106	21	1004401	10.0
107	21	1004400	200.0
108	22	1004450	0.1
109	22	1004451	1.0
110	22	1004452	10.0
111	22	1004453	100.0
112	23	1004454	0.1
113	23	1004455	1.0
114	23	1004456	10.0
115	23	1004457	100.0
116	24	1004459	1.0
117	24	1004460	5.0
118	24	1004461	10.0
119	24	1004462	50.0
120	25	1004483	0.1
121	25	1004484	1.0
122	25	1004485	10.0
123	25	1004486	100.0
124	26	1004487	0.1
125	26	1004488	1.0
126	26	1004489	10.0
127	26	1004490	100.0
128	27	1004495	0.1
129	27	1004496	1.0
130	27	1004497	10.0
131	27	1004498	100.0
132	28	1004499	0.1
133	28	1004500	1.0
134	28	1004501	10.0
135	28	1004502	100.0
136	29	1004509	0.1
137	29	1004510	1.0
138	29	1004511	10.0
139	29	1004512	100.0
140	30	1004513	0.1
141	30	1004514	1.0
142	30	1004515	10.0
143	30	1004516	100.0
144	31	1004533	0.1
145	31	1004534	1.0
146	31	1004535	10.0
147	31	1004536	100.0
148	32	1004540	0.1
149	32	1004541	1.0
150	32	1004542	10.0
151	32	1004543	100.0
152	33	1004544	0.1
153	33	1004545	1.0
154	33	1004546	10.0
155	33	1004547	100.0
156	34	1004549	0.1
157	34	1004550	1.0
158	34	1004551	10.0
159	34	1004552	100.0
160	35	1004553	0.1
