Name	SMILES
Biovia-002	Cc1ccc(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(COc4ccccc4C(=O)O)nn3)[C@H]2O)cc1
Biovia-003	Cc1ccc(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(COc4cc([N+](=O)[O-])ccc4C(=O)O)nn3)[C@H]2O)cc1
Biovia-004	Cc1ccc(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(COc4cc(N)ccc4C(=O)O)nn3)[C@H]2O)cc1
Biovia-005	COC(=O)c1ccccc1OCc1cn([C@@H]2[C@@H](O)[C@H](Cc3ccc(C)cc3)O[C@H](CO)[C@@H]2O)nn1
Biovia-006	COC(=O)c1ccc([N+](=O)[O-])cc1OCc1cn([C@@H]2[C@@H](O)[C@H](Cc3ccc(C)cc3)O[C@H](CO)[C@@H]2O)nn1
Biovia-007	COC(=O)c1ccc(N)cc1OCc1cn([C@@H]2[C@@H](O)[C@H](Cc3ccc(C)cc3)O[C@H](CO)[C@@H]2O)nn1
Biovia-008	COC(=O)c1ccc(NC(C)=O)cc1OCc1cn([C@@H]2[C@@H](O)[C@H](Cc3ccc(C)cc3)O[C@H](CO)[C@@H]2O)nn1
Biovia-009	Cc1ccc(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(COc4ccccc4CO)nn3)[C@H]2O)cc1
Biovia-010	Cc1ccc(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(COc4ccccc4N)nn3)[C@H]2O)cc1
Biovia-011	CC(=O)Nc1ccccc1OCc1cn([C@@H]2[C@@H](O)[C@H](Cc3ccc(C)cc3)O[C@H](CO)[C@@H]2O)nn1
Biovia-012	Cc1ccc(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(COc4ccccc4NS(C)(=O)=O)nn3)[C@H]2O)cc1
Biovia-013	Cc1ccc(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(COc4ccccc4O)nn3)[C@H]2O)cc1
Biovia-014	Cc1ccc(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(COc4cccc5ccc(C(=O)O)nc45)nn3)[C@H]2O)cc1
Biovia-015	CC(=O)Nc1ccc(NC(C)=O)c(OCc2cn([C@@H]3[C@@H](O)[C@H](Cc4ccc(C)cc4)O[C@H](CO)[C@@H]3O)nn2)c1
Biovia-016	CC(=O)Nc1cccc(OCc2cn([C@@H]3[C@@H](O)[C@H](Cc4ccc(C)cc4)O[C@H](CO)[C@@H]3O)nn2)c1
Biovia-017	Cc1ccc(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(COc4ccccc4NC(=O)Cc4ccccc4)nn3)[C@H]2O)cc1
Biovia-018	COC(=O)c1ccc2cccc(OCc3cn([C@@H]4[C@@H](O)[C@H](Cc5ccc(C)cc5)O[C@H](CO)[C@@H]4O)nn3)c2n1
Biovia-019	Cc1ccc(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(COc4ccccc4NC(=O)C4CC4)nn3)[C@H]2O)cc1
Biovia-020	Cc1ccc(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(COc4ccccc4)nn3)[C@H]2O)cc1
Biovia-021	CC(=O)Nc1ccc(OCc2cn([C@@H]3[C@@H](O)[C@H](Cc4ccc(C)cc4)O[C@H](CO)[C@@H]3O)nn2)c([N+](=O)[O-])c1
Biovia-024	CC(=O)Nc1ccccc1OCc1cn([C@@H]2[C@@H](O)[C@@H](Sc3ccc(Cl)c(Cl)c3)O[C@H](CO)[C@@H]2O)nn1
Biovia-025	OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@@H]2O)[C@H](O)[C@@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1O
Biovia-042	Cc1ccc(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4ccccc4F)nn3)[C@@H]2O)cc1
Biovia-043	Cc1ccc(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(Cl)c4)nn3)[C@@H]2O)cc1
Biovia-044	Cc1ccc(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@@H]2O)cc1
Biovia-045	Cc1ccc(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(Br)cc4)nn3)[C@@H]2O)cc1
Biovia-046	Cc1ccc(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(Cl)cc4)nn3)[C@@H]2O)cc1
Biovia-047	Cc1ccc(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(Cl)c(Cl)c4)nn3)[C@@H]2O)cc1
Biovia-048	Cc1ccc(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(F)cc4)nn3)[C@@H]2O)cc1
Biovia-049	Cc1ccc(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(F)c(C)c4)nn3)[C@@H]2O)cc1
Biovia-050	Cc1ccc(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(F)c(F)c4)nn3)[C@@H]2O)cc1
Biovia-051	Cc1ccc(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4cc(F)cc(F)c4)nn3)[C@@H]2O)cc1
Biovia-052	Cc1ccc(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4cc(F)c(F)c(F)c4)nn3)[C@@H]2O)cc1
Biovia-054	O=C(O)c1ccc2ccc(CO[C@@H]3[C@@H](O)[C@@H](Sc4ccc(Cl)c(Cl)c4)O[C@H](CO)[C@@H]3O)nc2c1
Biovia-076	O=C(Nc1ccc(O)cc1)S[C@@H]1O[C@@H](CO)[C@H](O)[C@H](n2cc(-c3cc(F)c(F)c(F)c3)nn2)[C@@H]1O
Biovia-077	Cc1ccc(NCC#N)cc1S[C@@H]1O[C@@H](CO)[C@H](O)[C@H](n2cc(-c3cc(F)c(F)c(F)c3)nn2)[C@@H]1O
Biovia-080	OC[C@@H]1O[C@H](Sc2cncc(Br)c2)[C@@H](O)[C@@H](n2cc(-c3cc(F)c(F)c(F)c3)nn2)[C@H]1O
Biovia-084	COc1ccc(O)c(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4cc(F)c(F)c(F)c4)nn3)[C@@H]2O)c1
Biovia-086	C[C@H]1O[C@@H](S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@@H]2O)[C@H](O)[C@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1O
Biovia-092	OC[C@@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@@H](n3cc(-c4ccccn4)nn3)[C@H]2O)[C@@H](O)[C@@H](n2cc(-c3cc(F)c(F)c(F)c3)nn2)[C@H]1O
Biovia-105	O=C(O)c1ccc2ccc(CO[C@H]3[C@@H](O)[C@H](CO)O[C@H](Sc4ccc(Cl)c(Cl)c4)[C@H]3O)nc2c1
Biovia-106	CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](OCc2ccc3ccccc3n2)[C@@H]1O
Biovia-107	CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](OCc2ccc3cc(C(=O)O)ccc3n2)[C@@H]1O
Biovia-108	COC(=O)c1ccc2nc(CO[C@@H]3[C@H](O)[C@H](OC)O[C@@H](CO)[C@@H]3O)ccc2c1
Biovia-109	CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](OCc2ccc3cc(Cl)ccc3n2)[C@@H]1O
Biovia-110	CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](OCc2ccc3cc(F)ccc3n2)[C@@H]1O
Biovia-111	CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](OCc2ccc3ccc(C(=O)O)cc3n2)[C@@H]1O
Biovia-112	COC(=O)c1ccc2ccc(CO[C@@H]3[C@H](O)[C@H](OC)O[C@@H](CO)[C@@H]3O)nc2c1
Biovia-113	CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](OCc2ccc3cc(F)c(F)cc3n2)[C@@H]1O
Biovia-114	CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](OCc2cc(Cl)c3cc(C(F)(F)F)ccc3n2)[C@@H]1O
Biovia-115	CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](OCc2cc(Cl)c3ccc(C(F)(F)F)cc3n2)[C@@H]1O
Biovia-116	CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](OCc2cc(Cl)c3cccc(F)c3n2)[C@@H]1O
Biovia-117	CCc1cc2c3c(c1CC)O[C@H](CO)[C@H](O)[C@@H]3OC2
Biovia-119	CCCNC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)nn1
Biovia-120	CNC(=O)c1cn([C@@H]2[C@H](O)[C@H](O/N=C/c3c[nH]c4ccccc34)O[C@@H](CO)[C@@H]2O)nn1
Biovia-121	OC[C@@H]1O[C@@H](O/N=C/c2c[nH]c3ccccc23)[C@@H](O)[C@@H](n2cc(-c3ccccc3)nn2)[C@H]1O
Biovia-122	COC(=O)c1cc(C(=O)O[C@@H]2[C@H](O)[C@H](OC)O[C@@H](CO)[C@@H]2O)c2ccccn12
Biovia-123	COC(=O)c1cc(C(=O)O[C@@H]2[C@H](O)[C@H](OC)O[C@@H](CO)[C@@H]2O)c2cc(C(C)=O)ccn12
Biovia-124	COC(=O)c1cc(C(=O)O[C@@H]2[C@H](O)[C@H](OC)O[C@@H](CO)[C@@H]2O)c2cc(C(F)(F)F)ccn12
Biovia-125	COC(=O)c1ccn2c(C(=O)OC)cc(C(=O)O[C@@H]3[C@H](O)[C@H](OC)O[C@@H](CO)[C@@H]3O)c2c1
Biovia-126	COC(=O)c1cc(C(=O)O[C@@H]2[C@H](O)[C@H](OC)O[C@@H](CO)[C@@H]2O)c2cc(C)ccn12
Biovia-129	CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](OCC/C(=N/S(=O)(=O)c2ccccc2)NCc2ccccc2)[C@@H]1O
Biovia-130	COc1cccc(OC)c1CC#Cc1ccc(CO[C@@H]2[C@H](O)[C@H](OC)O[C@@H](CO)[C@@H]2O)cc1
Biovia-131	C=CCCC#Cc1ccc(CO[C@@H]2[C@H](O)[C@H](OC)O[C@@H](CO)[C@@H]2O)cc1
Biovia-132	CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](OCc2ccc(C#CCO)cc2)[C@@H]1O
Biovia-136	CO[C@@H]1O[C@@H](CO)[C@H](O[C@@H]2O[C@@H](CO)[C@H](O)[C@H](NC(N)=S)[C@@H]2O)[C@H](O)[C@@H]1NC(C)=O
Biovia-137	CNC(=S)N[C@@H]1[C@H](O)[C@H](O[C@@H]2[C@H](O)[C@H](NC(C)=O)[C@H](OC)O[C@H]2CO)O[C@@H](CO)[C@@H]1O
Biovia-138	CO[C@@H]1O[C@@H](CO)[C@H](O[C@@H]2O[C@@H](CO)[C@H](O)[C@H](NC(=S)NC3CCCCC3)[C@@H]2O)[C@H](O)[C@@H]1NC(C)=O
Biovia-139	C=CCNC(=S)N[C@@H]1[C@H](O)[C@H](O[C@@H]2[C@H](O)[C@H](NC(C)=O)[C@H](OC)O[C@H]2CO)O[C@@H](CO)[C@@H]1O
Biovia-140	CO[C@@H]1O[C@@H](COC(C)=O)[C@H](O[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4ccc5ccccc5c4)nn3)[C@@H]2O)[C@H](OC(C)=O)[C@@H]1NC(C)=O
Biovia-143	O=[N+]([O-])c1cc([N+](=O)[O-])c(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2O)cc1S[C@@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]1O
Biovia-144	O=[N+]([O-])c1cc([N+](=O)[O-])c(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2O)cc1SCc1ccccc1
Biovia-161	CC(=O)OC[C@@H]1O[C@@H](Oc2ccc([N+](=O)[O-])cc2)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1O
Biovia-163	CC(=O)OC[C@@H]1O[C@@H](Sc2ccc([N+](=O)[O-])cc2)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1O
Biovia-166	CC(=O)OC[C@@H]1O[C@@H](Sc2ccc3ccccc3c2)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1O
Biovia-168	COc1ccc(S[C@@H]2O[C@@H](COC(C)=O)[C@H](O)[C@H](OC(C)=O)[C@@H]2OC(C)=O)cc1
Biovia-170	O=C(O)c1ccc2nc(CO[C@H]3[C@@H](O)[C@H](CO)O[C@H](Sc4ccc(Cl)c(Cl)c4)[C@H]3O)ccc2c1
Biovia-175	CCCCNC(=O)c1cn([C@@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@@H](CO)[C@H](O)[C@H](n4cc(C(=O)NCCCC)nn4)[C@@H]3O)[C@@H]2O)nn1
Biovia-177	O=c1oc2cc(O)ccc2cc1CO[C@@H]1[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](OCc3cc4ccc(O)cc4oc3=O)[C@@H]2O)[C@@H]1O
Biovia-179	N#Cc1ccc(S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](n3cc(-c4cc(F)c(F)c(F)c4)nn3)[C@@H]2O)cc1Cl
Biovia-184	C[Si](C)(C)c1cc2c3c(c1)O[C@H](CO)[C@H](O)[C@@H]3OC2
Biovia-185	CC#Cc1cc2c3c(c1C#CC)O[C@H](CO)[C@H](O)[C@@H]3OC2
Biovia-186	OC[C@H]1Oc2c(Cc3ccccc3)c(Cc3ccccc3)cc3c2[C@@H](OC3)[C@H]1O
Biovia-187	CCCc1cc2c3c(c1CCC)O[C@H](CO)[C@H](O)[C@@H]3OC2
Biovia-188	OC[C@H]1Oc2c(I)c(I)cc3c2[C@@H](OC3)[C@H]1O
Biovia-189	OC[C@H]1Oc2cc(-c3ccc(F)cc3)cc3c2[C@@H](OC3)[C@H]1O
Biovia-190	OC[C@H]1Oc2cc(Cc3ccccc3)cc3c2[C@@H](OC3)[C@H]1O
Biovia-191	OC[C@H]1Oc2cc(I)cc3c2[C@@H](OC3)[C@H]1O
Biovia-192	OCc1ccc(Oc2cc3c4c(c2)O[C@H](CO)[C@H](O)[C@@H]4OC3)cc1
Biovia-193	O=c1oc2ccc(F)c(F)c2cc1CO[C@@H]1[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]2O[C@@H](CO)[C@H](O)[C@H](OCc3cc4c(F)c(F)ccc4oc3=O)[C@@H]2O)[C@@H]1O
